Term,definition,why,misha
GPT,Generative Pre-trained Transformer - a kind of AI model that generates text based on patterns in huge amounts of written data.,"GPT powers tools like ChatGPT, helping generate human-like responses in real-time.","It’s not magic, it’s math - but when tuned right, it feels like your second brain."
RLHF,Reinforcement Learning from Human Feedback - a method that trains AI by showing it examples of what humans consider good answers.,"It helps models act more helpfully, safely, and aligned with human values.",Like teaching a child manners - except the child is a math engine with infinite memory.
Smart contract,Code that runs automatically on a blockchain when conditions are met - like a vending machine with no middleman.,It removes the need for trust or lawyers in digital agreements.,"Contracts that don’t care who you are, only that the math checks out."
Wallet,"A digital tool that stores your crypto, NFTs, and identity keys - it’s your passport to the decentralized web.","Without a wallet, you can’t participate in Web3.","Your digital soul, encrypted and sovereign - carry it wisely."
On-chain,"Data or actions that are recorded directly on a blockchain - permanent, public, and transparent.",Being on-chain means it can’t be altered or deleted later.,"Proof that lives forever - a receipt, a record, a revolution."
Fine-tuning,Customizing an AI model on specific data to improve how it performs a narrow task.,Fine-tuned models can be more accurate and efficient.,It’s like giving your AI a specialty degree - trained to serve your vibe.
Prompt engineering,"Crafting inputs that guide AI toward better, more useful responses.",The quality of your prompt shapes the quality of your results.,It's the new spellcraft. Words matter more than ever.
Foundation model,"A massive, general-purpose AI model trained on diverse data to serve as a base for many tasks.",It powers everything from chatbots to image generation.,"A cathedral of knowledge - deep, vast, but still waiting to be humanized."
Open-source,Software whose code is public and modifiable by anyone - the opposite of proprietary.,"Open-source tools fuel collaboration, innovation, and transparency.","The internet’s real magic: people building together, in the open."
Agent,"An AI system that acts autonomously to complete tasks — it can plan, reason, and adapt to new information.",Agents are the next evolution of AI — from passive chatbots to active doers.,"Not just a tool, but a collaborator — one you didn’t hire, but still have to train."
Retrieval-Augmented Generation (RAG),"A method where an AI model pulls in external documents to generate more accurate, up-to-date answers.",It helps large models stay relevant without retraining them constantly.,Like letting your AI phone a friend — just make sure it’s a smart one.
Alignment,The goal of making AI systems behave in ways that match human values and intentions.,Poorly aligned AI can cause harm — even if it’s ‘working perfectly.’,It’s not enough to be smart. Alignment is about *trusting* your machine mind.
Hallucination,When AI confidently generates false or made-up information.,It’s a major flaw in generative models — and it happens more than you think.,Even machines dream. The danger is when we believe their visions.
Multimodal,"AI that can understand and generate more than just text — like images, audio, and video too.",It brings AI closer to how humans experience the world.,"When language meets vision, machines start to *see* what they say."
Chain-of-Thought,A reasoning technique where AI explains its steps instead of jumping to the answer.,It makes models more transparent and improves performance on complex tasks.,"Not just answers — but *thinking out loud*, at machine speed."
Token,A piece of a word used to break down language for AI to understand and process.,Tokens are the building blocks of how LLMs ‘read’ and ‘write.’,"Every thought starts small — and for AI, it starts with a token."
Inference,The process of running a trained AI model to generate predictions or outputs.,"It’s what happens every time you prompt ChatGPT — fast, invisible computation.",Training builds the brain. Inference is the moment it thinks.
Synthetic data,Artificially generated data used to train or test AI models without needing real-world examples.,"It’s safer, faster, and more private than using actual user data.","A lab-grown dataset — cleaner, faster, but still needs the soul of the real."
Blockchain,"A public, digital ledger where transactions are recorded in blocks and secured using cryptography.",It creates trust without intermediaries — the foundation of Web3.,"Truth, timestamped. A shared memory that no one can erase."
Layer 1,The base layer of a blockchain network — like Ethereum or Bitcoin — where transactions are settled.,It’s the foundational layer that supports everything built on top.,"Think of it as digital bedrock — slow, solid, and sovereign."
Layer 2,A secondary framework built on top of Layer 1 to make transactions faster and cheaper.,It scales the blockchain without compromising security.,The fast lane above the foundation — speed without sacrifice.
Gas fees,"The cost of performing actions on a blockchain, paid in crypto to compensate for computation.",It keeps the network running and secure — but can get expensive.,Every spell has a price. This one’s paid in tokens.
DeFi,"Decentralized Finance — financial services like lending, trading, or earning interest built on blockchain instead of banks.","It replaces middlemen with code, making finance open to anyone.","Money without gatekeepers — just logic, risk, and reward."
NFT,"Non-Fungible Token — a digital asset that proves ownership of something unique, like art or a membership.","NFTs give creators new ways to sell, license, and connect.","Not just a JPEG — a key, a story, a contract of belonging."
Wallet,"A digital tool for holding crypto, NFTs, and identity keys — your access pass to Web3.","Without a wallet, you can’t own or interact on-chain.",Not a purse. A passport. A sovereign identity in your pocket.
DID,Decentralized Identifier — a new way to verify identity without relying on big platforms.,It gives you control over your own credentials and reputation.,"Who you are — self-issued, self-owned, and cryptographically sealed."
Token,"A digital unit of value or utility — can represent money, membership, governance rights, or rewards.","Tokens power economies, communities, and incentive systems.","Not just currency — but culture, encoded in code."
DAO,Decentralized Autonomous Organization - a group that runs on blockchain rules instead of a CEO.,"DAOs enable transparent, community-led decisions - like digital co-ops.","A company without a boss - just code, consensus, and community."
Smart contract,Code that automatically executes agreements once conditions are met — no lawyers required.,It builds trust into the software itself.,"Like digital rituals. Once begun, they run — no takebacks."
API,Application Programming Interface — a set of rules that lets software talk to other software.,"APIs connect apps, services, and data across the web.","Like a translator between machines — invisible, essential, and everywhere."
Frontend,"The part of a website or app that users see and interact with — buttons, text, visuals.",It shapes the user experience and brings software to life.,The surface of the digital world — where human meets machine.
Backend,"The behind-the-scenes logic, servers, and databases that power the frontend.","It handles data, logic, and security — the brain behind the beauty.","The engine room of every interface — quiet, complex, alive."
Protocol,A set of rules or standards that lets systems communicate — like HTTP or TCP/IP.,Protocols are the scaffolding of the internet and Web3.,Invisible architecture — rules that shape reality without asking permission.
Middleware,"Software that connects different systems, acting as a bridge or glue layer.","It enables modular, scalable design in complex apps.","The connective tissue of code — unseen, but holding it all together."
Node,A computer that participates in a network by storing data or validating transactions.,Nodes make decentralized networks work — they share the load.,The digital citizens of a distributed republic.
Validator,A special kind of node that confirms transactions and adds new blocks to the blockchain.,They keep the network honest and secure.,"The judges of the chain — watching, verifying, never blinking."
RPC,Remote Procedure Call — a way for apps to talk to blockchain nodes and get data or send transactions.,"Without RPC, dApps can’t function — it’s how they connect to the chain.","Whispers between code and chain — fast, silent, vital."
Indexer,A service that organizes blockchain data so apps can access it quickly and efficiently.,Blockchains are slow to search — indexers make data usable.,The librarians of the ledger — giving order to the infinite.
IPFS,InterPlanetary File System — a decentralized way to store and access files across the web.,"It makes data resilient, shareable, and censorship-resistant.","A cosmic hard drive — scattered across the planet, always reachable."
Decentralized AI,AI models and systems built or run on decentralized infrastructure — not owned by a single company.,It prevents monopolies and gives communities control over powerful tools.,"Brains without borders — AI that belongs to everyone, not just Big Tech."
Compute marketplace,A network where people rent out spare computing power for tasks like training AI models.,It makes AI development more accessible and affordable.,Like Airbnb for GPUs — a shared economy of supercomputing.
Model provenance,"Tracking how an AI model was trained — what data was used, who contributed, and how it evolved.","It builds trust, transparency, and accountability into AI systems.",A family tree for machine minds — because origin matters.
On-chain inference,Running AI model predictions directly on a blockchain or connected smart contract.,"It creates auditable, tamper-proof outputs from AI.","Where logic meets ledger — intelligence that can be verified, not just claimed."
AI oracle,An off-chain AI system that feeds external data or insights into a blockchain-based app or smart contract.,Oracles make blockchains aware of the real world.,A whisperer from outside the chain — bringing knowledge to code.
ZK-AI,Using zero-knowledge proofs with AI to verify results without revealing private data.,"It makes AI more private, secure, and trustworthy.",Proof without exposure — intelligence that protects your secrets.
Data union,"A collective of people who pool and control their data, often in exchange for payment.",It flips data ownership from corporations to individuals and communities.,"Your data, your rules — a union for the age of surveillance."
Compute-to-data,A method where algorithms go to the data (instead of moving data around) — protecting privacy.,It enables AI training without exposing sensitive data.,"Let the code travel, not the secrets — a stealth move for smart machines."
AI wallet,"A digital wallet that interacts with AI models — holding tokens, preferences, or access rights.",It personalizes AI experiences and governs what data or models you use.,Your digital brain companion — tuned to your ethics and interests.
Tokenized AI,"AI systems or models that are represented as tokens — tradeable, governable, or ownable by communities.",It enables shared ownership and decentralized funding of AI.,Owning a piece of intelligence — and shaping what it becomes.
AR (Augmented Reality),Technology that overlays digital content onto the real world using devices like smartphones or AR glasses.,"It blends physical and digital spaces — used in games, shopping, design, and more.","A layer of meaning on top of reality — seen through glass, but felt in mind."
VR (Virtual Reality),A fully immersive digital environment you can enter using a headset — where the real world is replaced entirely.,"VR is used for gaming, therapy, training, and creative expression.",Not escape — immersion. A portal into possible worlds.
XR (Extended Reality),"A catch-all term for AR, VR, and everything in between — a spectrum of reality blending tech.",It signals the convergence of digital and physical experiences.,"Reality’s remix — part real, part rendered, fully reimagined."
Haptic,Technology that simulates touch through vibrations or force — letting you 'feel' digital things.,It brings physical sensation to virtual experiences.,Touching the intangible — pixels that press back.
Robotics,"The field of designing, building, and programming machines that can move, sense, and act in the world.","Robots power factories, healthcare, space exploration, and more.",Mechanical bodies with coded intention — the muscle of automation.
Humanoid robot,"A robot designed to look and move like a human — often with two arms, legs, and a face.",They’re built for human environments and human interaction.,"A mirror with motors — uncanny, familiar, evolving fast."
Big data,Extremely large and complex datasets that require advanced tools to analyze and extract meaning.,It fuels everything from AI to ad targeting to climate modeling.,"The new oil, but invisible — mined not with drills, but algorithms."
Digital footprint,The trail of data you leave behind every time you use the internet — from clicks to posts to purchases.,"It shapes how companies, platforms, and even governments see you.","You walk online, and the ground remembers — always."
The metaverse,"A persistent, shared virtual space — like a 3D version of the internet — where people can interact, work, and play.",Tech giants see it as the future of online life.,"A dream of digital reality — still being built, still being claimed."
Edge computing,Processing data closer to where it’s generated (like on your phone) instead of a distant server.,"It makes devices faster, more private, and less dependent on the cloud.",Thinking on the edge — smart machines that act without asking the cloud for permission.
Creator economy,"A system where individuals make a living by creating and monetizing content — like videos, writing, or art — often via social platforms.",It’s shifting power from institutions to individuals with audiences.,"Not just influencers — builders of meaning, at scale, on their own terms."
Remix culture,"A creative movement where people build on existing works to make something new — sampling, reusing, adapting.","It fuels innovation, memes, and cultural evolution.",Creation as conversation — your voice layered onto the collective chorus.
Attribution,Giving credit to the original creator when reusing or referencing their work.,It’s essential for ethical remixing and intellectual respect.,"Credit is currency — invisible, but foundational to trust."
Digital rights,"Your legal and ethical entitlements in the digital world — including privacy, expression, and ownership.","As we live more online, these rights define our freedom.",Freedom of thought must extend to freedom of data.
Self-sovereign identity (SSI),"A digital identity you fully control — stored in your wallet, not by a platform.",It gives individuals power over their credentials and reputation.,"You, encrypted — free from platforms, verified by design."
Content coin,"A token linked to a piece of content, creator, or community — blending attention, ownership, and incentives.",It turns content into a shared asset that fans can support and own.,"A story you can trade, invest in, or remix — value layered on meaning."
License,"A legal framework that defines how others can use, share, or modify your work.",Licensing protects creators while enabling collaboration.,The rules of the remix — invisible ink that shapes creation.
